epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,53123.2,1.20262,3.09364,1.34443,0.97231,0.90652,0.91544,0.62549,1.17278,2.297,1.34705,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,53596.5,1.19967,3.06503,1.34319,0.97228,0.90655,0.91571,0.62742,1.169,2.29185,1.34435,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,54068.1,1.19478,3.0432,1.3378,0.97234,0.90654,0.91611,0.62919,1.16465,2.2865,1.34106,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,54644.6,1.1797,2.99022,1.33003,0.97172,0.90611,0.91624,0.63073,1.16044,2.27997,1.33779,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,55126.6,1.18334,3.03013,1.33028,0.97157,0.907,0.91665,0.63132,1.15634,2.27538,1.33474,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,55608.9,1.16414,2.96167,1.32032,0.9716,0.90693,0.91692,0.63307,1.15235,2.27001,1.33177,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,56081.4,1.16791,2.95532,1.3251,0.97062,0.90678,0.91704,0.63489,1.14833,2.26409,1.32896,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,56554,1.15598,2.94193,1.3139,0.97047,0.90679,0.91735,0.63581,1.14485,2.26189,1.32612,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,57024.2,1.14931,2.93837,1.30955,0.97069,0.90679,0.91783,0.63684,1.14033,2.25598,1.32302,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,57489.9,1.14872,2.92102,1.31063,0.97084,0.90743,0.91763,0.63859,1.1356,2.24984,1.31959,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,57958.1,1.1305,2.85986,1.29806,0.97079,0.90748,0.9184,0.64034,1.13094,2.24519,1.31634,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
